"AREA","PERIMETER","JUNK_","JUNK_ID","PLACENAME"
"0",649.657,649.501,"2","7","North America"
"1",95.15,313.829,"3","7","North America"
"2",19.176,70.588,"4","7","North America"
"3",4.609,20.933,"5","3","Asia"
"4",0.835,6.361,"6","8","Europe"
"5",1.371,19.161,"7","8","Europe"
"6",1.019,7.386,"8","8","Europe"
"7",6.717,33.132,"9","8","Europe"
"8",6.241,19.381,"10","3","Asia"
"9",15.875,61.042,"11","8","Europe"
"10",4.603,15.93,"12","3","Asia"
"11",4.629,22.711,"13","7","North America"
"12",2.125,11.255,"14","7","North America"
"13",1.142,8.442,"15","7","North America"
"14",2.075,11.669,"16","8","Europe"
"15",1.953,9.731,"17","7","North America"
"16",4937.683,981.728,"18","3","Asia"
"17",5.585,23.46,"19","7","North America"
"18",18.017,60.931,"20","7","North America"
"19",14.867,53.815,"21","8","Europe"
"20",13.774,56.155,"22","7","North America"
"21",5.432,30.203,"23","7","North America"
"22",7.584,26.964,"24","3","Asia"
"23",2.265,7.663,"25","7","North America"
"24",1.966,11.122,"26","3","Asia"
"25",19.4,27.925,"27","7","North America"
"26",6.978,16.618,"28","7","North America"
"27",9.126,28.826,"29","7","North America"
"28",1.492,8.228,"30","3","Asia"
"29",114.48,265.803,"31","7","North America"
"30",3.264,11.956,"32","3","Asia"
"31",3.116,10.859,"33","7","North America"
"32",1.253,5.915,"34","7","North America"
"33",1.61,7.397,"35","3","Asia"
"34",8.697,30.489,"36","8","Europe"
"35",54.23,83.255,"37","7","North America"
"36",0.938,6.938,"38","7","North America"
"37",0.769,6.07,"39","3","Asia"
"38",2584.374,933.444,"40","7","North America"
"39",1.288,5.802,"41","7","North America"
"40",0.616,3.57,"42","3","Asia"
"41",0.115,2.588,"43","8","Europe"
"42",1399.242,724.129,"44","8","Europe"
"43",0.965,6.757,"45","7","North America"
"44",0.797,5.711,"46","8","Europe"
"45",2.06,10.707,"47","7","North America"
"46",3.03,11.782,"48","7","North America"
"47",0.864,8.607,"49","7","North America"
"48",0.427,4.071,"50","8","Europe"
"49",1.12,5.157,"51","8","Europe"
"50",22.215,46.723,"52","7","North America"
"51",0.522,4.473,"53","8","Europe"
"52",2.053,5.915,"54","7","North America"
"53",19.75,49.59,"55","8","Europe"
"54",8.051,20.794,"56","7","North America"
