T20,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
4,Afghanistan,2010,Major trading partner 1 (% of exports),India,,16.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
4,Afghanistan,2015,Major trading partner 1 (% of exports),India,,33.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
4,Afghanistan,2020,Major trading partner 1 (% of exports),India,,47.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
4,Afghanistan,2010,Major trading partner 1 (% of imports),Iran,,7.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
4,Afghanistan,2015,Major trading partner 1 (% of imports),Iran,,23.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
4,Afghanistan,2020,Major trading partner 1 (% of imports),Iran,,14.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
4,Afghanistan,2010,Major trading partner 2 (% of exports),Pakistan,,39.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
4,Afghanistan,2015,Major trading partner 2 (% of exports),Pakistan,,39.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
4,Afghanistan,2020,Major trading partner 2 (% of exports),Pakistan,,34.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
4,Afghanistan,2010,Major trading partner 2 (% of imports),China,,13.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
4,Afghanistan,2015,Major trading partner 2 (% of imports),China,,13.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
4,Afghanistan,2020,Major trading partner 2 (% of imports),China,,13.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
4,Afghanistan,2010,Major trading partner 3 (% of exports),China,,3.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
4,Afghanistan,2015,Major trading partner 3 (% of exports),China,,1.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
