"";"nome";"abrev";"sede";"ano_fundada"
"1";"Alimentação e Agricultura";"FAO";"Roma";1945
"2";"Fundo Internacional de Desenvolvimento Agrícola";"FIDA";"Roma";1977
"3";"Organização da Aviação Civil Internacional";"OACI";"Montreal";1947
"4";"Organização Internacional do Trabalho";"OIT";"Genebra";1919
"5";"Organização Marítima Internacional";"OMI";"Londres";1959
"6";"Fundo Monetário Internacional";"FMI";"Washington D.C.";1945
"7";"União Internacional de Telecomunicações";"UIT";"Genebra";1865
"8";"Educação, a Ciência e a Cultura";"UNESCO";"Paris";1945
"9";"Desenvolvimento Industrial";"UNIDO";"Viena";1985
"10";"União Postal Universal";"UPU";"Berna";1874
"11";"Grupo Banco Mundial";"GBM";"Washington D.C.";1945
"12";"Organização Mundial da Saúde";"OMS";"Genebra";1948
"13";"Organização Mundial da Propriedade Intelectual";"OMPI";"Genebra";1967
"14";"Organização Meteorológica Mundial";"OMM";"Genebra";1950
"15";"Organização Mundial de Turismo";"OMT";"Madrid";1974
